Sample_Name,Sample_Type,Assay,Assay_Type,ID,rConc,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,soil_type,plot,treatment,block,sample_day,sample_number,sample_type,counts
P3_2,Unknown,tetbP,Test,S10-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,3,WCS,3,T00,2,water,3.644849692957795e-275
P3_2,Unknown,tetbP,Test,S10-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,3,WCS,3,T00,2,water,3.644849692957795e-275
P3_2,Unknown,tetbP,Test,S10-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,3,WCS,3,T00,2,water,3.644849692957795e-275
P2_5,Unknown,tetbP,Test,S87-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_5,Unknown,tetbP,Test,S87-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_5,Unknown,tetbP,Test,S87-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,5,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S86-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S86-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_3,Unknown,tetbP,Test,S86-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,3,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S85-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S85-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P2_1,Unknown,tetbP,Test,S85-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,2,WCS,2,T00,1,water,3.644849692957795e-275
P9_6,Unknown,tetbP,Test,S84-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,9,WCM,3,T00,6,water,3.644849692957795e-275
P9_6,Unknown,tetbP,Test,S84-A29,1,22.9517535847029,-1,1,Pass,0.0133288501073477,78.9259086893644,999,1,na,9,WCM,3,T00,6,water,7.41211326799176
P9_6,Unknown,tetbP,Test,S84-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,9,WCM,3,T00,6,water,3.644849692957795e-275
P4_5,Unknown,tetbP,Test,S18-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,4,WCSM,1,T00,5,water,3.644849692957795e-275
P4_5,Unknown,tetbP,Test,S18-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,4,WCSM,1,T00,5,water,3.644849692957795e-275
P4_5,Unknown,tetbP,Test,S18-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,4,WCSM,1,T00,5,water,3.644849692957795e-275
P9_4,Unknown,tetbP,Test,S83-A28,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,9,WCM,3,T00,4,water,3.644849692957795e-275
P9_4,Unknown,tetbP,Test,S83-A29,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,9,WCM,3,T00,4,water,3.644849692957795e-275
P9_4,Unknown,tetbP,Test,S83-A30,1,999,-1,0,Flag,0.0133288501073477,999,999,0,na,9,WCM,3,T00,4,water,3.644849692957795e-275
