"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV12623","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"ASV12692","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Gilvimarinus","Unclassified"
"ASV12693","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12749","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus"
"ASV12798","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Oligella"
"ASV12799","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus"
"ASV12801","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV12821","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Rhizocola"
"ASV12822","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"ASV12823","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Empedobacter"
"ASV12869","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV12870","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12926","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV13029","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Parvimonas"
"ASV13228","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV13290","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ASV13292","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV13294","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Nocardiopsis"
"ASV13314","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillales_incertae_sedis","Pseudohongiella"
"ASV13405","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV13416","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified"
